"date","uw.SWE.cm"
2021-01-15,0.0416
2021-01-21,0.5305
2021-01-22,0.6372
2021-01-29,0.327
2021-02-17,1.0913
2021-02-18,1.058
2021-02-24,0.7556
2021-03-04,0.5721
