"date","uw.SWE.cm"
2021-01-15,0.2789
2021-01-21,0.793
2021-01-22,0.6046
2021-01-29,0.4928
2021-02-17,1.4062
2021-02-18,1.457
2021-02-24,1.3221
2021-03-04,0.9934
